month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
6,-3.884275072262545e-4,0.001151777174042689,-5.304796832561013e-4,0,0.2806010385334553,0.4875288333263556,0.21134650751623926,30,2 months,+30%
7,-3.982113244144353e-4,-7.012534688389666e-4,-5.520677343626835e-4,0,0.24077990609201178,0.41740348644245895,0.15613973407997092,30,2 months,+30%
8,-3.884724013229982e-4,-5.98145831821952e-4,-4.2414932714737036e-4,0,0.20193266595971196,0.3575889032602637,0.11372480136523389,30,2 months,+30%
9,-1.9392832674066177e-4,3.5807294740419077e-4,-2.8508356013531074e-4,0,0.1825398332856458,0.3933961980006828,0.08521644535170281,30,2 months,+30%
10,-1.9063005595012887e-4,-2.4492327172949413e-5,-2.7711834052757687e-4,0,0.1634768276906329,0.39094696528338785,0.057504611298945116,30,2 months,+30%
11,-1.5488532116902118e-4,-2.1698094020366435e-4,-2.1472131233707566e-4,0,0.1479882955737308,0.3692488712630214,0.03603248006523756,30,2 months,+30%
12,-1.0623081995251096e-4,-1.281810183584864e-4,-1.536585079431412e-4,0,0.1373652135784797,0.3564307694271728,0.020666629270923435,30,2 months,+30%
0,0.001288847079347173,-8.191381700507934e-5,0.008211182467035637,26.236426446749107,0.1288847079347173,-0.008191381700507934,0.8211182467035637,30,3 months,+30%
1,0.0016765024184749976,5.202626933582541e-4,0.003602430194530981,26.236426446749107,0.29653494978221706,0.04383488763531748,1.181361266156662,30,3 months,+30%
2,7.210445820794208e-4,0.009290461292837802,0.0026933581331204806,26.236426446749107,0.36863940799015915,0.9728810169190978,1.4506970794687097,30,3 months,+30%
3,0.0014208519340307242,0.005097962649607653,-0.00615506370928165,0,0.5107246013932315,1.4826772818798633,0.8351907085405449,30,3 months,+30%
4,5.703516009423516e-5,8.367529777862787e-4,-0.0021484006737994,0,0.516428117402655,1.566352579658491,0.6203506411606049,30,3 months,+30%
5,7.398557319121509e-4,-0.006923965804761595,-0.0015034428954335695,0,0.5904136905938702,0.8739559991823316,0.4700063516172479,30,3 months,+30%
6,-0.0013645889420349291,-0.002507255987415344,-0.0011325689202785118,0,0.4539547963903772,0.623230400440797,0.35674945958939674,30,3 months,+30%
7,-6.708485889920963e-4,3.0822634809275773e-4,-8.161820174073495e-4,0,0.3868699374911676,0.6540530352500729,0.2751312578486618,30,3 months,+30%
8,-5.042626439715992e-4,-4.558484747109034e-4,-6.905147273588048e-4,0,0.3364436730940077,0.6084681877789825,0.20607978511278133,30,3 months,+30%
9,-4.7634940850649603e-4,-0.00048547787854576196,-5.70785894286557e-4,0,0.28880873224335807,0.5599203999244063,0.14900119568412562,30,3 months,+30%
10,-2.966813755072902e-4,2.2091266695508423e-4,-4.155653335237001e-4,0,0.25914059469262907,0.5820116666199148,0.10744466233175562,30,3 months,+30%
11,-2.427623283525151e-4,-1.0431298692757662e-4,-3.6135787947626057e-4,0,0.23486436185737755,0.571580367927157,0.07130887438412954,30,3 months,+30%
12,-2.0898386871914115e-4,-2.6534129880748797e-4,-2.8414028133152925e-4,0,0.21396597498546344,0.5450462380464083,0.04289484625097662,30,3 months,+30%
0,0.001288847079347173,-8.191381700507934e-5,0.008211182467035637,26.236426446749107,0.1288847079347173,-0.008191381700507934,0.8211182467035637,30,6 months,+30%
1,0.0016765024184749976,5.202626933582541e-4,0.003602430194530981,26.236426446749107,0.29653494978221706,0.04383488763531748,1.181361266156662,30,6 months,+30%
2,7.210445820794208e-4,0.009290461292837802,0.0026933581331204806,26.236426446749107,0.36863940799015915,0.9728810169190978,1.4506970794687097,30,6 months,+30%
3,0.002709699013377897,0.005016048832602572,0.002056118757753987,26.236426446749107,0.6396093093279489,1.474485900179355,1.6563089552441086,30,6 months,+30%
4,0.0017335375785692275,0.001357015671144532,0.0014540295207315773,26.236426446749107,0.8129630671848717,1.6101874672938083,1.8017119073172665,30,6 months,+30%
5,0.0014609003139915736,0.002366495488076222,0.001189915237686913,26.236426446749107,0.959053098584029,1.8468370161014305,1.9207034310859576,30,6 months,+30%
